Trial ID,Test Method,Item ID,Item Format,Item Brand,Item Name,Item Description Refined,Material Class I,Material Class II,Material Class III,% Residuals (Mass),% Residuals (Area),Technology
44547-01-21,Mesh Bag,A6,Bowl,BÉSICS®,PLA-lined Paper Bowl 12oz,BÉSICS® 12 oz Soup bowl,Fiber,Lined Fiber,PLA lined Paper,0.017,,Unknown
44547-01-21,Mesh Bag,A6,Bowl,BÉSICS®,PLA-lined Paper Bowl 12oz,BÉSICS® 12 oz Soup bowl,Fiber,Lined Fiber,PLA lined Paper,0.01,,Unknown
44547-01-21,Mesh Bag,Q,Bowl,BÉSICS®,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,Fiber,Lined Fiber,PLA lined Bagasse,0.0,0.0,Unknown
44547-01-21,Mesh Bag,A21,Box,BÉSICS®,Paper Tray with Lid,BÉSICS® Lined Paper Box with Lid ,Fiber,Lined Fiber,PLA-lined fibre,0.02,,Unknown
44547-01-21,Mesh Bag,V,Cutlery,BÉSICS®,"CPLA Spoon 6""","BÉSICS® Spoon 6""",Biopolymer,Rigid Biopolymer (> 0.75mm),CPLA,0.019,0.05,Unknown
44547-01-21,Mesh Bag,A25,Tray,BÉSICS®,"Unlined Paper Tray, small",BÉSICS® Uncoated paper fry tray ,Fiber,Unlined Fiber,Paper,0.045,,Unknown
44547-01-21,Mesh Bag,A36,Cold Cup,Brand A,PLA Cold Cup 16oz,Fabrikal 16 oz PLA cold cup,Biopolymer,Rigid biopolymer,PLA,0.03,0.03,Unknown
CASP004-01,Mesh Bag,A6,Bowl,BÉSICS®,PLA-lined Paper Bowl 12oz,BÉSICS® 12 oz Soup bowl,Fiber,Lined Fiber,PLA lined Paper,0.0,,Covered or Extended Aerated Static Pile
CASP004-01,Mesh Bag,A6,Bowl,BÉSICS®,PLA-lined Paper Bowl 12oz,BÉSICS® 12 oz Soup bowl,Fiber,Lined Fiber,PLA lined Paper,0.0,,Covered or Extended Aerated Static Pile
CASP004-01,Mesh Bag,A6,Bowl,BÉSICS®,PLA-lined Paper Bowl 12oz,BÉSICS® 12 oz Soup bowl,Fiber,Lined Fiber,PLA lined Paper,1.8713522400328815,,Covered or Extended Aerated Static Pile
CASP004-01,Mesh Bag,A6,Bowl,BÉSICS®,PLA-lined Paper Bowl 12oz,BÉSICS® 12 oz Soup bowl,Fiber,Lined Fiber,PLA lined Paper,2.0448006576243323,,Covered or Extended Aerated Static Pile
CASP004-01,Mesh Bag,Q,Bowl,BÉSICS®,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,Fiber,Lined Fiber,PLA lined Bagasse,0.0,,Covered or Extended Aerated Static Pile
CASP004-01,Mesh Bag,Q,Bowl,BÉSICS®,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,Fiber,Lined Fiber,PLA lined Bagasse,0.0,,Covered or Extended Aerated Static Pile
CASP004-01,Mesh Bag,Q,Bowl,BÉSICS®,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,Fiber,Lined Fiber,PLA lined Bagasse,0.0,,Covered or Extended Aerated Static Pile
CASP004-01,Mesh Bag,Q,Bowl,BÉSICS®,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,Fiber,Lined Fiber,PLA lined Bagasse,1.668567807351078,,Covered or Extended Aerated Static Pile
CASP004-01,Mesh Bag,A21,Box,BÉSICS®,Paper Tray with Lid,BÉSICS® Lined Paper Box with Lid ,Fiber,Lined Fiber,PLA-lined fibre,4.493503584229392,,Covered or Extended Aerated Static Pile
CASP004-01,Mesh Bag,A21,Box,BÉSICS®,Paper Tray with Lid,BÉSICS® Lined Paper Box with Lid ,Fiber,Lined Fiber,PLA-lined fibre,2.241599462365591,,Covered or Extended Aerated Static Pile
CASP004-01,Mesh Bag,A21,Box,BÉSICS®,Paper Tray with Lid,BÉSICS® Lined Paper Box with Lid ,Fiber,Lined Fiber,PLA-lined fibre,1.1872759856630823,,Covered or Extended Aerated Static Pile
CASP004-01,Mesh Bag,A21,Box,BÉSICS®,Paper Tray with Lid,BÉSICS® Lined Paper Box with Lid ,Fiber,Lined Fiber,PLA-lined fibre,2.0075044802867383,,Covered or Extended Aerated Static Pile
CASP004-01,Mesh Bag,A25,Tray,BÉSICS®,"Unlined Paper Tray, small",BÉSICS® Uncoated paper fry tray ,Fiber,Unlined Fiber,Paper,0.0,,Covered or Extended Aerated Static Pile
CASP004-01,Mesh Bag,A25,Tray,BÉSICS®,"Unlined Paper Tray, small",BÉSICS® Uncoated paper fry tray ,Fiber,Unlined Fiber,Paper,0.9620893007582141,,Covered or Extended Aerated Static Pile
CASP004-01,Mesh Bag,A25,Tray,BÉSICS®,"Unlined Paper Tray, small",BÉSICS® Uncoated paper fry tray ,Fiber,Unlined Fiber,Paper,0.0,,Covered or Extended Aerated Static Pile
CASP004-01,Mesh Bag,A25,Tray,BÉSICS®,"Unlined Paper Tray, small",BÉSICS® Uncoated paper fry tray ,Fiber,Unlined Fiber,Paper,2.627351867452963,,Covered or Extended Aerated Static Pile
CASP004-01,Mesh Bag,A36,Cold Cup,Brand A,PLA Cold Cup 16oz,Fabrikal 16 oz PLA cold cup,Biopolymer,Rigid biopolymer,PLA,0.0,,Covered or Extended Aerated Static Pile
CASP004-01,Mesh Bag,A36,Cold Cup,Brand A,PLA Cold Cup 16oz,Fabrikal 16 oz PLA cold cup,Biopolymer,Rigid biopolymer,PLA,0.0,,Covered or Extended Aerated Static Pile
CASP004-01,Mesh Bag,A36,Cold Cup,Brand A,PLA Cold Cup 16oz,Fabrikal 16 oz PLA cold cup,Biopolymer,Rigid biopolymer,PLA,0.0,,Covered or Extended Aerated Static Pile
CASP004-01,Mesh Bag,A36,Cold Cup,Brand A,PLA Cold Cup 16oz,Fabrikal 16 oz PLA cold cup,Biopolymer,Rigid biopolymer,PLA,0.0,,Covered or Extended Aerated Static Pile
CASP004-01,Mesh Bag,A11,Cutlery,BÉSICS®,"CPLA Spoon 6""","BÉSICS® 6"" Spoon",Biopolymer,Rigid Biopolymer (> 0.75mm),CPLA,0.0,,Covered or Extended Aerated Static Pile
CASP004-01,Mesh Bag,A11,Cutlery,BÉSICS®,"CPLA Spoon 6""","BÉSICS® 6"" Spoon",Biopolymer,Rigid Biopolymer (> 0.75mm),CPLA,0.0,,Covered or Extended Aerated Static Pile
CASP004-01,Mesh Bag,A11,Cutlery,BÉSICS®,"CPLA Spoon 6""","BÉSICS® 6"" Spoon",Biopolymer,Rigid Biopolymer (> 0.75mm),CPLA,0.0,,Covered or Extended Aerated Static Pile
CASP004-01,Mesh Bag,A11,Cutlery,BÉSICS®,"CPLA Spoon 6""","BÉSICS® 6"" Spoon",Biopolymer,Rigid Biopolymer (> 0.75mm),CPLA,0.0,,Covered or Extended Aerated Static Pile
CASP004-01,Mesh Bag,A1,Hot cup,Brand B,PLA-lined Bamboo Hot Cup 16oz,16oz NoTree Paper Hot Cup - World Centric,Fiber,Lined Fiber,PLA-lined Bamboo Paper,1.8111439842209074,,Covered or Extended Aerated Static Pile
CASP004-01,Mesh Bag,A1,Hot cup,Brand B,PLA-lined Bamboo Hot Cup 16oz,16oz NoTree Paper Hot Cup - World Centric,Fiber,Lined Fiber,PLA-lined Bamboo Paper,3.554733727810651,,Covered or Extended Aerated Static Pile
CASP004-01,Mesh Bag,A1,Hot cup,Brand B,PLA-lined Bamboo Hot Cup 16oz,16oz NoTree Paper Hot Cup - World Centric,Fiber,Lined Fiber,PLA-lined Bamboo Paper,0.0,,Covered or Extended Aerated Static Pile
