Time Step,WR004-01,CASP005-01,EASP001-01,IV002-01,EASP002-01,CASP006-01,CASP004-02,ASP001-01,EASP003-01,WR005-01,Operating Condition,Time Unit
1.0,112.8,128.8,92.16333333333334,103.625,89.16666666666667,103.0,172.352,127.8,120.4,146.5,Temperature,Day
2.0,117.0,137.6,133.09,118.25,114.66666666666667,,169.172,133.8,116.2,136.0,Temperature,Day
3.0,125.2,140.8,116.84666666666668,117.875,129.66666666666666,109.0,164.956,136.4,124.2,141.0,Temperature,Day
4.0,128.0,,156.8,118.42857142857143,,,161.138,,,142.0,Temperature,Day
5.0,,,161.97,118.0,,,144.674,,,142.33333333333334,Temperature,Day
6.0,,142.6,140.29999999999998,117.66666666666667,143.66666666666666,137.33333333333334,137.366,142.0,165.4,,Temperature,Day
7.0,134.0,143.4,162.1,118.85714285714286,148.66666666666666,138.0,132.35000000000002,144.4,162.0,,Temperature,Day
8.0,135.8,144.6,166.95,119.28571428571429,149.66666666666666,141.33333333333334,157.474,146.4,167.2,108.0,Temperature,Day
9.0,136.4,131.2,170.01,121.88888888888889,158.66666666666666,146.66666666666666,155.116,148.0,170.0,107.33333333333333,Temperature,Day
10.0,139.2,156.6,143.47375,120.14285714285714,162.0,151.33333333333334,156.818,148.2,170.4,109.33333333333333,Temperature,Day
11.0,135.8,,169.03,119.57142857142857,,,128.574,,,110.33333333333333,Temperature,Day
12.0,,,169.77,119.14285714285714,,,115.68199999999999,,,108.0,Temperature,Day
13.0,,163.0,140.04375,118.57142857142857,160.0,,122.04,140.2,165.4,109.0,Temperature,Day
14.0,138.2,164.6,171.12,117.85714285714286,161.66666666666666,133.0,127.976,141.0,164.8,,Temperature,Day
15.0,135.8,166.0,134.94375,117.57142857142857,162.66666666666666,132.33333333333334,118.00199999999998,142.6,166.6,126.0,Temperature,Day
16.0,136.6,166.2,172.48,117.57142857142857,161.66666666666666,136.66666666666666,127.91400000000002,,165.2,129.0,Temperature,Day
17.0,135.8,168.2,138.24625,119.0,161.66666666666666,,117.50600000000001,142.2,160.2,144.83333333333334,Temperature,Day
18.0,136.6,,167.4,117.28571428571429,,,126.46400000000001,,,133.66666666666666,Temperature,Day
19.0,,,166.56,118.14285714285714,,,117.556,,,148.16666666666666,Temperature,Day
20.0,,,127.5975,117.71428571428571,160.83333333333334,133.33333333333334,122.648,142.6,153.8,,Temperature,Day
21.0,136.4,150.6,170.6,118.57142857142857,159.0,137.5,131.92999999999998,155.2,,,Temperature,Day
22.0,137.2,150.8,127.2025,141.85714285714286,157.33333333333334,129.4,117.75,155.4,152.8,,Temperature,Day
23.0,139.6,153.6,168.09,141.14285714285714,135.0,131.8,122.6,156.8,,,Temperature,Day
24.0,138.8,155.6,123.42857142857143,143.57142857142858,140.33333333333334,,136.218,155.8,148.2,140.33333333333334,Temperature,Day
25.0,136.0,,165.61,144.14285714285714,,,117.458,,,,Temperature,Day
26.0,,,164.11,145.28571428571428,,,119.94200000000001,,,,Temperature,Day
27.0,,160.8,162.11,146.85714285714286,157.33333333333334,156.33333333333334,124.796,156.2,159.2,,Temperature,Day
28.0,136.6,163.4,118.28571428571429,148.57142857142858,158.66666666666666,154.0,134.12199999999999,157.0,156.6,,Temperature,Day
29.0,136.0,165.6,118.57142857142857,148.71428571428572,158.33333333333334,154.66666666666666,123.418,,156.0,140.0,Temperature,Day
30.0,135.6,167.8,130.28571428571428,151.0,156.66666666666666,153.33333333333334,116.53600000000002,162.0,,147.0,Temperature,Day
