Day #,WR004-01,CASP005-01,EASP001-01,IV002-01,EASP002-01,CASP006-01,CASP004-02,ASP001-01,EASP003-01,WR005-01
1,112.8,128.8,92.16333333333334,103.625,89.16666666666667,103.0,172.352,127.8,120.4,146.5
2,117.0,137.6,133.09,118.25,114.66666666666667,,169.172,133.8,116.2,136.0
3,125.2,140.8,116.84666666666668,117.875,129.66666666666666,109.0,164.956,136.4,124.2,141.0
4,128.0,,156.8,118.42857142857143,,,161.138,,,142.0
5,,,161.97,118.0,,,144.674,,,142.33333333333334
6,,142.6,140.29999999999998,117.66666666666667,143.66666666666666,137.33333333333334,137.366,142.0,165.4,
7,134.0,143.4,162.1,118.85714285714286,148.66666666666666,138.0,132.35000000000002,144.4,162.0,
8,135.8,144.6,166.95,119.28571428571429,149.66666666666666,141.33333333333334,157.474,146.4,167.2,108.0
9,136.4,131.2,170.01,121.88888888888889,158.66666666666666,146.66666666666666,155.116,148.0,170.0,107.33333333333333
10,139.2,156.6,143.47375,120.14285714285714,162.0,151.33333333333334,156.818,148.2,170.4,109.33333333333333
11,135.8,,169.03,119.57142857142857,,,128.574,,,110.33333333333333
12,,,169.77,119.14285714285714,,,115.68199999999999,,,108.0
13,,163.0,140.04375,118.57142857142857,160.0,,122.04,140.2,165.4,109.0
14,138.2,164.6,171.12,117.85714285714286,161.66666666666666,133.0,127.976,141.0,164.8,
15,135.8,166.0,134.94375,117.57142857142857,162.66666666666666,132.33333333333334,118.00199999999998,142.6,166.6,126.0
16,136.6,166.2,172.48,117.57142857142857,161.66666666666666,136.66666666666666,127.91400000000002,,165.2,129.0
17,135.8,168.2,138.24625,119.0,161.66666666666666,,117.50600000000001,142.2,160.2,144.83333333333334
18,136.6,,167.4,117.28571428571429,,,126.46400000000001,,,133.66666666666666
19,,,166.56,118.14285714285714,,,117.556,,,148.16666666666666
20,,,127.5975,117.71428571428571,160.83333333333334,133.33333333333334,122.648,142.6,153.8,
21,136.4,150.6,170.6,118.57142857142857,159.0,137.5,131.92999999999998,155.2,,
22,137.2,150.8,127.2025,141.85714285714286,157.33333333333334,129.4,117.75,155.4,152.8,
23,139.6,153.6,168.09,141.14285714285714,135.0,131.8,122.6,156.8,,
24,138.8,155.6,123.42857142857143,143.57142857142858,140.33333333333334,,136.218,155.8,148.2,140.33333333333334
25,136.0,,165.61,144.14285714285714,,,117.458,,,
26,,,164.11,145.28571428571428,,,119.94200000000001,,,
27,,160.8,162.11,146.85714285714286,157.33333333333334,156.33333333333334,124.796,156.2,159.2,
28,136.6,163.4,118.28571428571429,148.57142857142858,158.66666666666666,154.0,134.12199999999999,157.0,156.6,
29,136.0,165.6,118.57142857142857,148.71428571428572,158.33333333333334,154.66666666666666,123.418,,156.0,140.0
30,135.6,167.8,130.28571428571428,151.0,156.66666666666666,153.33333333333334,116.53600000000002,162.0,,147.0
31,133.8,169.0,130.28571428571428,149.85714285714286,157.66666666666666,157.0,117.93800000000002,,155.8,153.16666666666666
32,135.0,,158.16,135.14285714285714,,,119.39000000000001,,,
33,,,157.88,137.85714285714286,,,121.502,,,148.83333333333334
34,,169.6,129.42857142857142,142.42857142857142,157.0,,124.15599999999999,154.8,,
35,,169.8,130.57142857142858,151.85714285714286,158.0,153.0,127.25399999999999,151.6,,
36,135.3,169.8,131.14285714285714,148.28571428571428,157.0,145.5,141.254,151.6,149.2,
37,135.1,168.0,154.04,150.0,160.33333333333334,151.66666666666666,127.704,151.6,,
38,135.2,169.2,126.85714285714286,157.14285714285714,158.33333333333334,,117.78000000000002,,,151.83333333333334
39,135.2,,153.07,151.14285714285714,,,117.09400000000001,,,
40,,,152.23,150.0,,,116.36800000000001,,,
41,,,126.85714285714286,150.71428571428572,157.33333333333334,148.66666666666666,116.23799999999999,149.0,141.2,
42,135.0,168.4,149.89,158.42857142857142,159.0,144.0,116.96,145.2,,
43,134.9,169.0,125.42857142857143,158.28571428571428,153.66666666666666,152.0,110.06199999999998,,135.8,142.66666666666666
44,136.2,170.2,150.0,157.85714285714286,150.33333333333334,150.66666666666666,110.828,147.2,167.4,
45,136.8,169.6,125.14285714285714,159.0,153.0,,113.33599999999998,151.0,166.6,148.16666666666666
46,128.4,,,158.42857142857142,,,117.98400000000001,,,153.33333333333334
47,,,,159.28571428571428,,166.0,119.974,,,
