product_name,stage,weight_mean
12 oz Hot cup / Soup bowl,End,0.0
12 oz Hot cup / Soup bowl,Interval,0.0
12 oz Hot cup / Soup bowl,Start,8.11
14oz PLA Cold Cup SKU CP-CS-14,End,0.0
14oz PLA Cold Cup SKU CP-CS-14,Interval,0.0
14oz PLA Cold Cup SKU CP-CS-14,Start,10.17
16 oz PLA cold cup,End,0.0
16 oz PLA cold cup,Interval,0.0
16 oz PLA cold cup,Start,14.58
16oz NoTree Paper Hot Cup SKU CU-SU-16,End,0.0
16oz NoTree Paper Hot Cup SKU CU-SU-16,Interval,0.0
16oz NoTree Paper Hot Cup SKU CU-SU-16,Start,13.52
3Gallon Food Scrap Bag BG-CS-3,End,0.01
3Gallon Food Scrap Bag BG-CS-3,Interval,0.0
3Gallon Food Scrap Bag BG-CS-3,Start,7.16
"8"" Kraft straw ST-PA-8-K",End,0.0
"8"" Kraft straw ST-PA-8-K",Interval,0.0
"8"" Kraft straw ST-PA-8-K",Start,1.07
Cutlery,End,0.0
Cutlery,Interval,0.0
Cutlery,Start,4.75
"Fiber Clamshell, Lined 9x9x3 SKU TO-SC-U9L-LF",End,0.0
"Fiber Clamshell, Lined 9x9x3 SKU TO-SC-U9L-LF",Interval,0.0
"Fiber Clamshell, Lined 9x9x3 SKU TO-SC-U9L-LF",Start,47.78
"Fiber Cutlery, Spoon SP-FB-6-LF",End,1.11
"Fiber Cutlery, Spoon SP-FB-6-LF",Interval,0.0
"Fiber Cutlery, Spoon SP-FB-6-LF",Start,3.99
Hot cup lid,End,0.0
Hot cup lid,Interval,0.0
Hot cup lid,Start,3.57
Kraft control,End,0.16
Kraft control,Interval,0.0
Kraft control,Start,2.85
Large brown bag,End,1.27
Large brown bag,Interval,0.0
Large brown bag,Start,12.72
Large natural clear colour bag,End,1.33
Large natural clear colour bag,Interval,0.0
Large natural clear colour bag,Start,8.4
Lined paper food tray with lid,End,0.0
Lined paper food tray with lid,Interval,0.0
Lined paper food tray with lid,Start,29.76
PLA Lid: 32oz Burrito Bowl SKU BOL-CS-UBB,End,0.0
PLA Lid: 32oz Burrito Bowl SKU BOL-CS-UBB,Interval,0.0
PLA Lid: 32oz Burrito Bowl SKU BOL-CS-UBB,Start,15.14
"PLA-lined fibre bowl, white ",End,0.0
"PLA-lined fibre bowl, white ",Interval,0.0
"PLA-lined fibre bowl, white ",Start,10.52
Printed small bag with brown background and logo,End,0.0
Printed small bag with brown background and logo,Interval,0.0
Printed small bag with brown background and logo,Start,4.57
Small zippered clear colour bag,End,0.0
Small zippered clear colour bag,Interval,0.0
Small zippered clear colour bag,Start,4.83
TPLA Spoon SP-PS-6,End,0.56
TPLA Spoon SP-PS-6,Interval,0.0
TPLA Spoon SP-PS-6,Start,4.97
Uncoated paper food tray ,End,2.28
Uncoated paper food tray ,Interval,0.0
Uncoated paper food tray ,Start,11.87
Wrapper for TPLA Spoon SP-PS-I,End,0.14
Wrapper for TPLA Spoon SP-PS-I,Interval,0.0
Wrapper for TPLA Spoon SP-PS-I,Start,0.82
