obs_id,facility_id,trial_id,bag_id,item_id,trial_stage,weight1,weight2,weight3,mean_weight_final_g,%_not_decomposed,%_decomposed,bag_intact,photo_available,notes,outlier_alert
1,44547.0,44547-01-21,44547_01_21_A_1,1,Start,8.12,8.1,8.12,8.11,100.0,0.0,True,True,,False
2,44547.0,44547-01-21,44547_01_21_A_2,1,Start,8.12,8.1,8.12,8.11,100.0,0.0,True,True,,False
3,44547.0,44547-01-21,44547_01_21_A_3,1,Start,8.12,8.1,8.12,8.11,100.0,0.0,True,True,,False
4,44547.0,44547-01-21,44547_01_21_A_4,1,Start,8.12,8.1,8.12,8.11,100.0,0.0,True,True,,False
5,44547.0,44547-01-21,44547_01_21_A_5,1,Start,8.12,8.1,8.12,8.11,100.0,0.0,True,True,,False
6,44547.0,44547-01-21,44547_01_21_A_6,1,Start,8.12,8.1,8.12,8.11,100.0,0.0,True,True,,False
7,44547.0,44547-01-21,44547_01_21_A_1,1,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
8,44547.0,44547-01-21,44547_01_21_A_2,1,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
9,44547.0,44547-01-21,44547_01_21_A_3,1,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
10,44547.0,44547-01-21,44547_01_21_A_4,1,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
11,44547.0,44547-01-21,44547_01_21_A_5,1,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
12,44547.0,44547-01-21,44547_01_21_A_6,1,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
13,44547.0,44547-01-21,44547_01_21_A_1,1,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
14,44547.0,44547-01-21,44547_01_21_A_2,1,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
15,44547.0,44547-01-21,44547_01_21_A_3,1,End,15.18,15.17,15.18,15.18,187.18,-87.18,True,True,,True
16,44547.0,44547-01-21,44547_01_21_A_4,1,End,16.59,16.58,16.58,16.58,204.44,-104.44,True,False,,True
17,44547.0,44547-01-21,44547_01_21_A_5,1,End,0.0,0.0,0.0,0.0,0.0,100.0,False,False,Bag 5 not found,False
18,44547.0,44547-01-21,44547_01_21_A_6,1,End,0.0,0.0,0.0,0.0,0.0,100.0,False,False,Bag 6 not found,False
19,44547.0,44547-01-21,44547_01_21_A_1,1,Start,8.12,8.1,8.12,8.11,100.0,0.0,True,True,,False
20,44547.0,44547-01-21,44547_01_21_A_2,1,Start,8.12,8.1,8.12,8.11,100.0,0.0,True,True,,False
21,44547.0,44547-01-21,44547_01_21_A_3,1,Start,8.12,8.1,8.12,8.11,100.0,0.0,True,True,,False
22,44547.0,44547-01-21,44547_01_21_A_4,1,Start,8.12,8.1,8.12,8.11,100.0,0.0,True,True,,False
23,44547.0,44547-01-21,44547_01_21_A_5,1,Start,8.12,8.1,8.12,8.11,100.0,0.0,True,True,,False
24,44547.0,44547-01-21,44547_01_21_A_6,1,Start,8.12,8.1,8.12,8.11,100.0,0.0,True,True,,False
25,44547.0,44547-01-21,44547_01_21_A_1,1,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
26,44547.0,44547-01-21,44547_01_21_A_2,1,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
27,44547.0,44547-01-21,44547_01_21_A_3,1,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
28,44547.0,44547-01-21,44547_01_21_A_4,1,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
29,44547.0,44547-01-21,44547_01_21_A_5,1,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
30,44547.0,44547-01-21,44547_01_21_A_6,1,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
31,44547.0,44547-01-21,44547_01_21_A_1,1,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
32,44547.0,44547-01-21,44547_01_21_A_2,1,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
33,44547.0,44547-01-21,44547_01_21_A_3,1,End,15.18,15.17,15.18,15.18,187.18,-87.18,True,True,,True
34,44547.0,44547-01-21,44547_01_21_A_4,1,End,16.59,16.58,16.58,16.58,204.44,-104.44,True,False,,True
35,44547.0,44547-01-21,44547_01_21_A_5,1,End,0.0,0.0,0.0,0.0,0.0,100.0,False,False,Bag 5 not found,False
36,44547.0,44547-01-21,44547_01_21_A_6,1,End,0.0,0.0,0.0,0.0,0.0,100.0,False,False,Bag 6 not found,False
37,44547.0,44547-01-21,44547_01_21_A_1,2,Start,3.58,3.58,3.56,3.57,100.0,0.0,True,True,,False
38,44547.0,44547-01-21,44547_01_21_A_2,2,Start,3.58,3.58,3.56,3.57,100.0,0.0,True,True,,False
39,44547.0,44547-01-21,44547_01_21_A_3,2,Start,3.58,3.58,3.56,3.57,100.0,0.0,True,True,,False
40,44547.0,44547-01-21,44547_01_21_A_4,2,Start,3.58,3.58,3.56,3.57,100.0,0.0,True,True,,False
41,44547.0,44547-01-21,44547_01_21_A_5,2,Start,3.58,3.58,3.56,3.57,100.0,0.0,True,True,,False
42,44547.0,44547-01-21,44547_01_21_A_6,2,Start,3.58,3.58,3.56,3.57,100.0,0.0,True,True,,False
43,44547.0,44547-01-21,44547_01_21_A_1,2,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
44,44547.0,44547-01-21,44547_01_21_A_2,2,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
45,44547.0,44547-01-21,44547_01_21_A_3,2,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
