Facility Name,Trial Stage,Bag Set,Bag number,Lined Hot Cup D,Hot Cup Lid A,Molded Fiber Bowl C,Spoon C,Coffee Pod,Spoon A,Straw A,Momlded Fiber Bowl B,Cold Cup B,Fiber Clamshell,Butcher Paper,Navel orange peel,Cellulose bag,Lined Hot Cup D.1,Hot Cup Lid A.1,Bag B,Molded Fiber Bowl C.1,Cold Cup Lid B,Spoon C.1
Facility 1 ( Windrow),First Removal,A (blue),10,,,,,0.059,0.026,0.231,0.909,,,0.986,,0.546,,,,,,
Facility 1 ( Windrow),First Removal,A (blue),6,,,,,0.022,0.175,0.443,0.78,,,0.696,0.007,0.572,,,,,,
Facility 1 ( Windrow),First Removal,A (blue),7,,,,,0.018,0.013,0.096,0.972,,,0.933,0.023,0.313,,,,,,
Facility 1 ( Windrow),First Removal,A (blue),8,,,,,0.22,0.424,0.859,0.897,,,0.909,0,0.412,,,,,,
Facility 1 ( Windrow),First Removal,A (blue),9,,,,,0.028,0.015,0.075,,,,0.928,0.05,0.65,,,,,,
Facility 1 ( Windrow),First Removal,B (green),10,0.9226075460185091,,0.8761277242777497,,,,,,0,0.924,0.476,0.02,0.387,0.923,,1.017,0.876,,
Facility 1 ( Windrow),First Removal,B (green),6,0.7427234821519374,,1.033654333502281,,,,,,0,0.603,0.603,0.059,0.38,0.743,,,1.034,,
Facility 1 ( Windrow),First Removal,B (green),7,0.8319943048916913,,0.9576279776989358,,,,,,0,0.871,0.506,0.06,0.588,0.832,,,0.958,,
Facility 1 ( Windrow),First Removal,B (green),8,0.9921692260754601,,0.8314242270653825,,,,,,0,0.946,1.249,0.06,0.566,0.992,,,0.831,,
Facility 1 ( Windrow),First Removal,B (green),9,0.7904098444015053,,0.758134820070958,,,,,,0,0.848,0.888,0.05,0.718,0.79,,,0.758,,
Facility 1 ( Windrow),First Removal,C (yellow),10,,0,,0.02494194147700882,,,,,,,0.909,0.028,0.526,,0,,,0,0.025
Facility 1 ( Windrow),First Removal,C (yellow),6,,0,,0.003971202972596376,,,,,,,1.016,0.03,0.484,,0,,,0,0.004
Facility 1 ( Windrow),First Removal,C (yellow),7,,0,,0,,,,,,,1.002,0.057,0.682,,0,,,0,0
Facility 1 ( Windrow),First Removal,C (yellow),8,,0,,0.013341848583372038,,,,,,,1.057,0.038,0.652,,0,,,0,0.013
Facility 1 ( Windrow),First Removal,C (yellow),9,,0.6870854467420991,,0.9506502554575009,,,,,,,0.712,0.001,0.618,,0.687,,,0,0.951
Facility 1 ( Windrow),Second Removal,A (blue),1,,,,,0.042,0.014,0.051,1.039,,,0.705,0.017,0.265,,,,,,
Facility 1 ( Windrow),Second Removal,A (blue),2,,,,,0.018,0.013,0.077,0.953,,,1.075,0.04,,,,,,,
Facility 1 ( Windrow),Second Removal,A (blue),3,,,,,0,0.017,0.105,1.092,,,0.903,0.049,0.8,,,,,,
