facility_name,trial_stage,bag_set,bag_number,product_name,percent_residual
Facility 1 ( Windrow),First Removal,A (blue),10,PLa-lined Paper Hot Cup 12oz,
Facility 1 ( Windrow),First Removal,A (blue),6,PLa-lined Paper Hot Cup 12oz,
Facility 1 ( Windrow),First Removal,A (blue),7,PLa-lined Paper Hot Cup 12oz,
Facility 1 ( Windrow),First Removal,A (blue),8,PLa-lined Paper Hot Cup 12oz,
Facility 1 ( Windrow),First Removal,A (blue),9,PLa-lined Paper Hot Cup 12oz,
Facility 1 ( Windrow),First Removal,B (green),10,PLa-lined Paper Hot Cup 12oz,92.4%
Facility 1 ( Windrow),First Removal,B (green),6,PLa-lined Paper Hot Cup 12oz,71.6%
Facility 1 ( Windrow),First Removal,B (green),7,PLa-lined Paper Hot Cup 12oz,84.2%
Facility 1 ( Windrow),First Removal,B (green),8,PLa-lined Paper Hot Cup 12oz,81.5%
Facility 1 ( Windrow),First Removal,B (green),9,PLa-lined Paper Hot Cup 12oz,61.0%
Facility 1 ( Windrow),First Removal,C (yellow),10,PLa-lined Paper Hot Cup 12oz,
Facility 1 ( Windrow),First Removal,C (yellow),6,PLa-lined Paper Hot Cup 12oz,
Facility 1 ( Windrow),First Removal,C (yellow),7,PLa-lined Paper Hot Cup 12oz,
Facility 1 ( Windrow),First Removal,C (yellow),8,PLa-lined Paper Hot Cup 12oz,
Facility 1 ( Windrow),First Removal,C (yellow),9,PLa-lined Paper Hot Cup 12oz,
Facility 1 ( Windrow),Second Removal,A (blue),1,PLa-lined Paper Hot Cup 12oz,
Facility 1 ( Windrow),Second Removal,A (blue),2,PLa-lined Paper Hot Cup 12oz,
Facility 1 ( Windrow),Second Removal,A (blue),3,PLa-lined Paper Hot Cup 12oz,
Facility 1 ( Windrow),Second Removal,A (blue),4,PLa-lined Paper Hot Cup 12oz,
Facility 1 ( Windrow),Second Removal,A (blue),5,PLa-lined Paper Hot Cup 12oz,
Facility 1 ( Windrow),Second Removal,B (green),1,PLa-lined Paper Hot Cup 12oz,0.0%
Facility 1 ( Windrow),Second Removal,B (green),2,PLa-lined Paper Hot Cup 12oz,72.0%
Facility 1 ( Windrow),Second Removal,B (green),3,PLa-lined Paper Hot Cup 12oz,
Facility 1 ( Windrow),Second Removal,B (green),4,PLa-lined Paper Hot Cup 12oz,38.1%
Facility 1 ( Windrow),Second Removal,B (green),5,PLa-lined Paper Hot Cup 12oz,71.2%
Facility 1 ( Windrow),Second Removal,C (yellow),1,PLa-lined Paper Hot Cup 12oz,
Facility 1 ( Windrow),Second Removal,C (yellow),2,PLa-lined Paper Hot Cup 12oz,
Facility 1 ( Windrow),Second Removal,C (yellow),3,PLa-lined Paper Hot Cup 12oz,
Facility 1 ( Windrow),Second Removal,C (yellow),4,PLa-lined Paper Hot Cup 12oz,
Facility 1 ( Windrow),Second Removal,C (yellow),5,PLa-lined Paper Hot Cup 12oz,
Facility 2 (CASP),First Removal,A (blue),2,PLa-lined Paper Hot Cup 12oz,
Facility 2 (CASP),First Removal,A (blue),4,PLa-lined Paper Hot Cup 12oz,
Facility 2 (CASP),First Removal,A (blue),5,PLa-lined Paper Hot Cup 12oz,
Facility 2 (CASP),First Removal,A (blue),7,PLa-lined Paper Hot Cup 12oz,
Facility 2 (CASP),First Removal,A (blue),9,PLa-lined Paper Hot Cup 12oz,
Facility 2 (CASP),First Removal,B (green),(blank),PLa-lined Paper Hot Cup 12oz,
Facility 2 (CASP),First Removal,B (green),1,PLa-lined Paper Hot Cup 12oz,85.9%
Facility 2 (CASP),First Removal,B (green),2,PLa-lined Paper Hot Cup 12oz,42.6%
Facility 2 (CASP),First Removal,B (green),4,PLa-lined Paper Hot Cup 12oz,85.0%
Facility 2 (CASP),First Removal,B (green),5,PLa-lined Paper Hot Cup 12oz,80.0%
Facility 2 (CASP),First Removal,B (green),8,PLa-lined Paper Hot Cup 12oz,67.0%
Facility 2 (CASP),First Removal,C (yellow),1,PLa-lined Paper Hot Cup 12oz,
Facility 2 (CASP),First Removal,C (yellow),2,PLa-lined Paper Hot Cup 12oz,
Facility 2 (CASP),First Removal,C (yellow),4,PLa-lined Paper Hot Cup 12oz,
Facility 2 (CASP),First Removal,C (yellow),5,PLa-lined Paper Hot Cup 12oz,
Facility 2 (CASP),First Removal,C (yellow),9,PLa-lined Paper Hot Cup 12oz,
Facility 2 (CASP),Second Removal,A (blue),10,PLa-lined Paper Hot Cup 12oz,
Facility 2 (CASP),Second Removal,A (blue),3,PLa-lined Paper Hot Cup 12oz,
Facility 2 (CASP),Second Removal,A (blue),6,PLa-lined Paper Hot Cup 12oz,
Facility 2 (CASP),Second Removal,A (blue),8,PLa-lined Paper Hot Cup 12oz,
Facility 2 (CASP),Second Removal,B (green),3,PLa-lined Paper Hot Cup 12oz,76.3%
Facility 2 (CASP),Second Removal,B (green),6,PLa-lined Paper Hot Cup 12oz,68.0%
Facility 2 (CASP),Second Removal,B (green),7,PLa-lined Paper Hot Cup 12oz,68.3%
Facility 2 (CASP),Second Removal,B (green),9,PLa-lined Paper Hot Cup 12oz,68.9%
Facility 2 (CASP),Second Removal,C (yellow),10,PLa-lined Paper Hot Cup 12oz,
Facility 2 (CASP),Second Removal,C (yellow),3,PLa-lined Paper Hot Cup 12oz,
Facility 2 (CASP),Second Removal,C (yellow),6,PLa-lined Paper Hot Cup 12oz,
Facility 2 (CASP),Second Removal,C (yellow),7,PLa-lined Paper Hot Cup 12oz,
Facility 2 (CASP),Second Removal,C (yellow),8,PLa-lined Paper Hot Cup 12oz,
Facility 5 (EASP),First Removal,A (blue),1,PLa-lined Paper Hot Cup 12oz,
Facility 5 (EASP),First Removal,A (blue),10,PLa-lined Paper Hot Cup 12oz,
Facility 5 (EASP),First Removal,A (blue),4,PLa-lined Paper Hot Cup 12oz,
Facility 5 (EASP),First Removal,A (blue),6,PLa-lined Paper Hot Cup 12oz,
Facility 5 (EASP),First Removal,A (blue),8,PLa-lined Paper Hot Cup 12oz,
Facility 5 (EASP),First Removal,B (green),2,PLa-lined Paper Hot Cup 12oz,94.6%
Facility 5 (EASP),First Removal,B (green),5,PLa-lined Paper Hot Cup 12oz,78.5%
Facility 5 (EASP),First Removal,B (green),6,PLa-lined Paper Hot Cup 12oz,75.0%
Facility 5 (EASP),First Removal,B (green),7,PLa-lined Paper Hot Cup 12oz,82.4%
Facility 5 (EASP),First Removal,B (green),8,PLa-lined Paper Hot Cup 12oz,81.1%
Facility 5 (EASP),First Removal,C (yellow),10,PLa-lined Paper Hot Cup 12oz,
Facility 5 (EASP),First Removal,C (yellow),3,PLa-lined Paper Hot Cup 12oz,
Facility 5 (EASP),First Removal,C (yellow),7,PLa-lined Paper Hot Cup 12oz,
Facility 5 (EASP),First Removal,C (yellow),8,PLa-lined Paper Hot Cup 12oz,
Facility 5 (EASP),First Removal,C (yellow),9,PLa-lined Paper Hot Cup 12oz,
Facility 5 (EASP),Second Removal,A (blue),2,PLa-lined Paper Hot Cup 12oz,
Facility 5 (EASP),Second Removal,A (blue),3,PLa-lined Paper Hot Cup 12oz,
Facility 5 (EASP),Second Removal,A (blue),5,PLa-lined Paper Hot Cup 12oz,
Facility 5 (EASP),Second Removal,A (blue),7,PLa-lined Paper Hot Cup 12oz,
Facility 5 (EASP),Second Removal,A (blue),9,PLa-lined Paper Hot Cup 12oz,
Facility 5 (EASP),Second Removal,B (green),1,PLa-lined Paper Hot Cup 12oz,26.2%
Facility 5 (EASP),Second Removal,B (green),10,PLa-lined Paper Hot Cup 12oz,0.0%
Facility 5 (EASP),Second Removal,B (green),3,PLa-lined Paper Hot Cup 12oz,56.6%
Facility 5 (EASP),Second Removal,B (green),4,PLa-lined Paper Hot Cup 12oz,46.2%
Facility 5 (EASP),Second Removal,B (green),8,PLa-lined Paper Hot Cup 12oz,0.0%
Facility 5 (EASP),Second Removal,C (yellow),1,PLa-lined Paper Hot Cup 12oz,
Facility 5 (EASP),Second Removal,C (yellow),2,PLa-lined Paper Hot Cup 12oz,
Facility 5 (EASP),Second Removal,C (yellow),4,PLa-lined Paper Hot Cup 12oz,
Facility 5 (EASP),Second Removal,C (yellow),5,PLa-lined Paper Hot Cup 12oz,
