facility_name,trial_stage,bag_set,bag_number,product_name,percent_residual
Windrow,First Removal,A (blue),10,PLa-lined Paper Hot Cup 12oz,
Windrow,First Removal,A (blue),6,PLa-lined Paper Hot Cup 12oz,
Windrow,First Removal,A (blue),7,PLa-lined Paper Hot Cup 12oz,
Windrow,First Removal,A (blue),8,PLa-lined Paper Hot Cup 12oz,
Windrow,First Removal,A (blue),9,PLa-lined Paper Hot Cup 12oz,
Windrow,First Removal,B (green),10,PLa-lined Paper Hot Cup 12oz,0.9226075460185091
Windrow,First Removal,B (green),6,PLa-lined Paper Hot Cup 12oz,0.7427234821519374
Windrow,First Removal,B (green),7,PLa-lined Paper Hot Cup 12oz,0.8319943048916913
Windrow,First Removal,B (green),8,PLa-lined Paper Hot Cup 12oz,0.9921692260754601
Windrow,First Removal,B (green),9,PLa-lined Paper Hot Cup 12oz,0.7904098444015053
Windrow,First Removal,C (yellow),10,PLa-lined Paper Hot Cup 12oz,
Windrow,First Removal,C (yellow),6,PLa-lined Paper Hot Cup 12oz,
Windrow,First Removal,C (yellow),7,PLa-lined Paper Hot Cup 12oz,
Windrow,First Removal,C (yellow),8,PLa-lined Paper Hot Cup 12oz,
Windrow,First Removal,C (yellow),9,PLa-lined Paper Hot Cup 12oz,
Windrow,Second Removal,A (blue),1,PLa-lined Paper Hot Cup 12oz,
Windrow,Second Removal,A (blue),2,PLa-lined Paper Hot Cup 12oz,
Windrow,Second Removal,A (blue),3,PLa-lined Paper Hot Cup 12oz,
Windrow,Second Removal,A (blue),4,PLa-lined Paper Hot Cup 12oz,
Windrow,Second Removal,A (blue),5,PLa-lined Paper Hot Cup 12oz,
Windrow,Second Removal,B (green),1,PLa-lined Paper Hot Cup 12oz,0
Windrow,Second Removal,B (green),2,PLa-lined Paper Hot Cup 12oz,1.0028475541543784
Windrow,Second Removal,B (green),3,PLa-lined Paper Hot Cup 12oz,
Windrow,Second Removal,B (green),4,PLa-lined Paper Hot Cup 12oz,0.7340892911624124
Windrow,Second Removal,B (green),5,PLa-lined Paper Hot Cup 12oz,0.881694294721855
Windrow,Second Removal,C (yellow),1,PLa-lined Paper Hot Cup 12oz,
Windrow,Second Removal,C (yellow),2,PLa-lined Paper Hot Cup 12oz,
Windrow,Second Removal,C (yellow),3,PLa-lined Paper Hot Cup 12oz,
Windrow,Second Removal,C (yellow),4,PLa-lined Paper Hot Cup 12oz,
Windrow,Second Removal,C (yellow),5,PLa-lined Paper Hot Cup 12oz,
CASP,First Removal,A (blue),2,PLa-lined Paper Hot Cup 12oz,
CASP,First Removal,A (blue),4,PLa-lined Paper Hot Cup 12oz,
CASP,First Removal,A (blue),5,PLa-lined Paper Hot Cup 12oz,
CASP,First Removal,A (blue),7,PLa-lined Paper Hot Cup 12oz,
CASP,First Removal,A (blue),9,PLa-lined Paper Hot Cup 12oz,
CASP,First Removal,B (green),(blank),PLa-lined Paper Hot Cup 12oz,
CASP,First Removal,B (green),1,PLa-lined Paper Hot Cup 12oz,1.2914675073731314
CASP,First Removal,B (green),2,PLa-lined Paper Hot Cup 12oz,0.832116342926879
CASP,First Removal,B (green),4,PLa-lined Paper Hot Cup 12oz,1.384490999694905
CASP,First Removal,B (green),5,PLa-lined Paper Hot Cup 12oz,0.9315773416048002
CASP,First Removal,B (green),8,PLa-lined Paper Hot Cup 12oz,0.8882538391131903
CASP,First Removal,C (yellow),1,PLa-lined Paper Hot Cup 12oz,
CASP,First Removal,C (yellow),2,PLa-lined Paper Hot Cup 12oz,
CASP,First Removal,C (yellow),4,PLa-lined Paper Hot Cup 12oz,
CASP,First Removal,C (yellow),5,PLa-lined Paper Hot Cup 12oz,
CASP,First Removal,C (yellow),9,PLa-lined Paper Hot Cup 12oz,
CASP,Second Removal,A (blue),10,PLa-lined Paper Hot Cup 12oz,
CASP,Second Removal,A (blue),3,PLa-lined Paper Hot Cup 12oz,
CASP,Second Removal,A (blue),6,PLa-lined Paper Hot Cup 12oz,
CASP,Second Removal,A (blue),8,PLa-lined Paper Hot Cup 12oz,
CASP,Second Removal,B (green),3,PLa-lined Paper Hot Cup 12oz,1.1199735584257096
CASP,Second Removal,B (green),6,PLa-lined Paper Hot Cup 12oz,1.0006813790297977
CASP,Second Removal,B (green),7,PLa-lined Paper Hot Cup 12oz,0.9472287196176145
CASP,Second Removal,B (green),9,PLa-lined Paper Hot Cup 12oz,0.890084409641005
CASP,Second Removal,C (yellow),10,PLa-lined Paper Hot Cup 12oz,
CASP,Second Removal,C (yellow),3,PLa-lined Paper Hot Cup 12oz,
CASP,Second Removal,C (yellow),6,PLa-lined Paper Hot Cup 12oz,
CASP,Second Removal,C (yellow),7,PLa-lined Paper Hot Cup 12oz,
CASP,Second Removal,C (yellow),8,PLa-lined Paper Hot Cup 12oz,
EASP,First Removal,A (blue),1,PLa-lined Paper Hot Cup 12oz,
EASP,First Removal,A (blue),10,PLa-lined Paper Hot Cup 12oz,
EASP,First Removal,A (blue),4,PLa-lined Paper Hot Cup 12oz,
EASP,First Removal,A (blue),6,PLa-lined Paper Hot Cup 12oz,
EASP,First Removal,A (blue),8,PLa-lined Paper Hot Cup 12oz,
EASP,First Removal,B (green),2,PLa-lined Paper Hot Cup 12oz,1.0449506762941116
EASP,First Removal,B (green),5,PLa-lined Paper Hot Cup 12oz,0.9586087663988612
EASP,First Removal,B (green),6,PLa-lined Paper Hot Cup 12oz,1.123055018814197
EASP,First Removal,B (green),7,PLa-lined Paper Hot Cup 12oz,1.0470863419098952
EASP,First Removal,B (green),8,PLa-lined Paper Hot Cup 12oz,1.0583748601647516
EASP,First Removal,C (yellow),10,PLa-lined Paper Hot Cup 12oz,
EASP,First Removal,C (yellow),3,PLa-lined Paper Hot Cup 12oz,
EASP,First Removal,C (yellow),7,PLa-lined Paper Hot Cup 12oz,
EASP,First Removal,C (yellow),8,PLa-lined Paper Hot Cup 12oz,
EASP,First Removal,C (yellow),9,PLa-lined Paper Hot Cup 12oz,
EASP,Second Removal,A (blue),2,PLa-lined Paper Hot Cup 12oz,
EASP,Second Removal,A (blue),3,PLa-lined Paper Hot Cup 12oz,
EASP,Second Removal,A (blue),5,PLa-lined Paper Hot Cup 12oz,
EASP,Second Removal,A (blue),7,PLa-lined Paper Hot Cup 12oz,
EASP,Second Removal,A (blue),9,PLa-lined Paper Hot Cup 12oz,
EASP,Second Removal,B (green),1,PLa-lined Paper Hot Cup 12oz,0.33661141055629007
EASP,Second Removal,B (green),10,PLa-lined Paper Hot Cup 12oz,0
EASP,Second Removal,B (green),3,PLa-lined Paper Hot Cup 12oz,0.732167192108207
EASP,Second Removal,B (green),4,PLa-lined Paper Hot Cup 12oz,0.716576833112987
EASP,Second Removal,B (green),8,PLa-lined Paper Hot Cup 12oz,0
EASP,Second Removal,C (yellow),1,PLa-lined Paper Hot Cup 12oz,
EASP,Second Removal,C (yellow),2,PLa-lined Paper Hot Cup 12oz,
EASP,Second Removal,C (yellow),4,PLa-lined Paper Hot Cup 12oz,
EASP,Second Removal,C (yellow),5,PLa-lined Paper Hot Cup 12oz,
EASP,Second Removal,C (yellow),6,PLa-lined Paper Hot Cup 12oz,
CASP,First Removal,A (blue),10,PLa-lined Paper Hot Cup 12oz,
CASP,First Removal,A (blue),6,PLa-lined Paper Hot Cup 12oz,
CASP,First Removal,A (blue),7,PLa-lined Paper Hot Cup 12oz,
CASP,First Removal,A (blue),8,PLa-lined Paper Hot Cup 12oz,
CASP,First Removal,A (blue),9,PLa-lined Paper Hot Cup 12oz,
CASP,First Removal,B (green),10,PLa-lined Paper Hot Cup 12oz,0.6540628495881217
CASP,First Removal,B (green),6,PLa-lined Paper Hot Cup 12oz,1.245245601545815
CASP,First Removal,B (green),7,PLa-lined Paper Hot Cup 12oz,0.9234313027560256
CASP,First Removal,B (green),8,PLa-lined Paper Hot Cup 12oz,1.1376995830367131
CASP,First Removal,B (green),9,PLa-lined Paper Hot Cup 12oz,1.0843689616597174
CASP,First Removal,C (yellow),10,PLa-lined Paper Hot Cup 12oz,
CASP,First Removal,C (yellow),6,PLa-lined Paper Hot Cup 12oz,
CASP,First Removal,C (yellow),7,PLa-lined Paper Hot Cup 12oz,
CASP,First Removal,C (yellow),8,PLa-lined Paper Hot Cup 12oz,
CASP,First Removal,C (yellow),9,PLa-lined Paper Hot Cup 12oz,
CASP,Second Removal,A (blue),1,PLa-lined Paper Hot Cup 12oz,
CASP,Second Removal,A (blue),2,PLa-lined Paper Hot Cup 12oz,
