facility_name,bag_ID,item_ID,trial_stage,mass_resid_%,sa_resid_%
 Windrow,B-10,N,First Removal,92.26,92.37
 Windrow,B-10,N,First Removal,92.26,92.4
 Windrow,B-6,N,First Removal,74.27,71.64
 Windrow,B-6,N,First Removal,74.27,71.6
 Windrow,B-7,N,First Removal,83.2,84.24
 Windrow,B-7,N,First Removal,83.2,84.2
 Windrow,B-8,N,First Removal,99.22,81.49
 Windrow,B-8,N,First Removal,99.22,81.5
 Windrow,B-9,N,First Removal,79.04,60.98
 Windrow,B-9,N,First Removal,79.04,61.0
 Windrow,B-1,N,Second Removal,0.0,0.0
 Windrow,B-1,N,Second Removal,0.0,0.0
 Windrow,B-2,N,Second Removal,100.28,72.03
 Windrow,B-2,N,Second Removal,100.28,72.0
 Windrow,B-4,N,Second Removal,73.41,38.06
 Windrow,B-4,N,Second Removal,73.41,38.1
 Windrow,B-5,N,Second Removal,88.17,71.18
 Windrow,B-5,N,Second Removal,88.17,71.2
CASP,B-1,N,First Removal,129.15,85.88
CASP,B-1,N,First Removal,129.15,85.9
CASP,B-2,N,First Removal,83.21,42.62
CASP,B-2,N,First Removal,83.21,35.19
CASP,B-2,N,First Removal,83.21,42.6
CASP,B-2,N,First Removal,83.21,35.2
CASP,B-4,N,First Removal,138.45,84.98
CASP,B-4,N,First Removal,138.45,44.64
CASP,B-4,N,First Removal,138.45,85.0
CASP,B-4,N,First Removal,138.45,44.6
CASP,B-5,N,First Removal,93.16,79.97
CASP,B-5,N,First Removal,93.16,80.0
CASP,B-8,N,First Removal,88.83,67.04
CASP,B-8,N,First Removal,88.83,92.5
CASP,B-8,N,First Removal,88.83,0.0
CASP,B-8,N,First Removal,88.83,67.0
CASP,B-8,N,First Removal,88.83,92.5
CASP,B-8,N,First Removal,88.83,0.0
CASP,B-3,N,Second Removal,112.0,76.28
CASP,B-3,N,Second Removal,112.0,13.72
CASP,B-3,N,Second Removal,112.0,76.3
CASP,B-3,N,Second Removal,112.0,13.7
CASP,B-6,N,Second Removal,100.07,67.96
CASP,B-6,N,Second Removal,100.07,16.54
CASP,B-6,N,Second Removal,100.07,68.0
CASP,B-6,N,Second Removal,100.07,16.5
CASP,B-7,N,Second Removal,94.72,68.32
CASP,B-7,N,Second Removal,94.72,0.0
CASP,B-7,N,Second Removal,94.72,68.3
CASP,B-7,N,Second Removal,94.72,0.0
CASP,B-9,N,Second Removal,89.01,68.9
CASP,B-9,N,Second Removal,89.01,68.9
EASP,B-2,N,First Removal,104.5,94.56
EASP,B-2,N,First Removal,104.5,86.32
EASP,B-2,N,First Removal,104.5,94.6
EASP,B-2,N,First Removal,104.5,86.3
EASP,B-5,N,First Removal,95.86,78.48
EASP,B-5,N,First Removal,95.86,84.62
EASP,B-5,N,First Removal,95.86,78.5
EASP,B-5,N,First Removal,95.86,84.6
EASP,B-6,N,First Removal,112.31,75.04
EASP,B-6,N,First Removal,112.31,83.26
EASP,B-6,N,First Removal,112.31,75.0
EASP,B-6,N,First Removal,112.31,83.3
EASP,B-7,N,First Removal,104.71,82.38
EASP,B-7,N,First Removal,104.71,82.4
EASP,B-8,N,First Removal,105.84,81.08
EASP,B-8,N,First Removal,105.84,81.1
EASP,B-1,N,Second Removal,33.66,26.17
EASP,B-1,N,Second Removal,33.66,26.2
EASP,B-10,N,Second Removal,0.0,0.0
EASP,B-10,N,Second Removal,0.0,76.39
EASP,B-10,N,Second Removal,0.0,0.0
EASP,B-10,N,Second Removal,0.0,76.4
EASP,B-3,N,Second Removal,73.22,56.63
EASP,B-3,N,Second Removal,73.22,80.02
EASP,B-3,N,Second Removal,73.22,56.6
EASP,B-3,N,Second Removal,73.22,80.0
EASP,B-4,N,Second Removal,71.66,46.2
EASP,B-4,N,Second Removal,71.66,46.2
EASP,B-8,N,Second Removal,0.0,0.0
EASP,B-8,N,Second Removal,0.0,78.08
EASP,B-8,N,Second Removal,0.0,0.0
EASP,B-8,N,Second Removal,0.0,78.1
CASP,B-10,N,First Removal,65.41,52.03
CASP,B-10,N,First Removal,65.41,52.0
CASP,B-6,N,First Removal,124.52,72.82
CASP,B-6,N,First Removal,124.52,72.8
CASP,B-7,N,First Removal,92.34,78.66
CASP,B-7,N,First Removal,92.34,78.7
CASP,B-8,N,First Removal,113.77,67.04
CASP,B-8,N,First Removal,113.77,92.5
CASP,B-8,N,First Removal,113.77,0.0
CASP,B-8,N,First Removal,113.77,67.0
CASP,B-8,N,First Removal,113.77,92.5
CASP,B-8,N,First Removal,113.77,0.0
CASP,B-9,N,First Removal,108.44,81.11
CASP,B-9,N,First Removal,108.44,61.59
CASP,B-9,N,First Removal,108.44,81.1
CASP,B-9,N,First Removal,108.44,61.6
CASP,B-1,N,Second Removal,0.0,0.0
CASP,B-1,N,Second Removal,0.0,0.0
CASP,B-1,N,Second Removal,0.0,0.0
CASP,B-1,N,Second Removal,0.0,0.0
CASP,B-2,N,Second Removal,0.0,0.0
CASP,B-2,N,Second Removal,0.0,0.0
CASP,B-3,N,Second Removal,18.51,76.28
CASP,B-3,N,Second Removal,18.51,13.72
CASP,B-3,N,Second Removal,18.51,76.3
CASP,B-3,N,Second Removal,18.51,13.7
CASP,B-4,N,Second Removal,0.0,0.0
CASP,B-4,N,Second Removal,0.0,0.0
CASP,B-5,N,Second Removal,0.0,0.0
CASP,B-5,N,Second Removal,0.0,57.66
CASP,B-5,N,Second Removal,0.0,0.0
CASP,B-5,N,Second Removal,0.0,57.7
CASP,B-2,N,First Removal,30.57,42.62
CASP,B-2,N,First Removal,30.57,35.19
CASP,B-2,N,First Removal,30.57,42.6
CASP,B-2,N,First Removal,30.57,35.2
CASP,B-3,N,First Removal,67.36,53.06
CASP,B-3,N,First Removal,67.36,53.1
CASP,B-4,N,First Removal,70.24,84.98
CASP,B-4,N,First Removal,70.24,44.64
CASP,B-4,N,First Removal,70.24,85.0
CASP,B-4,N,First Removal,70.24,44.6
CASP,B-8,N,First Removal,0.0,67.04
CASP,B-8,N,First Removal,0.0,92.5
CASP,B-8,N,First Removal,0.0,0.0
CASP,B-8,N,First Removal,0.0,67.0
CASP,B-8,N,First Removal,0.0,92.5
CASP,B-8,N,First Removal,0.0,0.0
CASP,B-9,N,First Removal,72.24,81.11
CASP,B-9,N,First Removal,72.24,61.59
CASP,B-9,N,First Removal,72.24,81.1
CASP,B-9,N,First Removal,72.24,61.6
CASP,B-1,N,Second Removal,0.0,0.0
CASP,B-1,N,Second Removal,0.0,0.0
CASP,B-1,N,Second Removal,0.0,0.0
CASP,B-1,N,Second Removal,0.0,0.0
CASP,B-5,N,Second Removal,51.3,0.0
CASP,B-5,N,Second Removal,51.3,57.66
CASP,B-5,N,Second Removal,51.3,0.0
CASP,B-5,N,Second Removal,51.3,57.7
CASP,B-6,N,Second Removal,45.75,67.96
CASP,B-6,N,Second Removal,45.75,16.54
CASP,B-6,N,Second Removal,45.75,68.0
CASP,B-6,N,Second Removal,45.75,16.5
CASP,B-7,N,Second Removal,0.0,68.32
CASP,B-7,N,Second Removal,0.0,0.0
CASP,B-7,N,Second Removal,0.0,68.3
CASP,B-7,N,Second Removal,0.0,0.0
ASP,B-1,N,First Removal,101.93,73.4
ASP,B-1,N,First Removal,101.93,73.4
ASP,B-2,N,First Removal,90.16,76.38
ASP,B-2,N,First Removal,90.16,76.4
ASP,B-3,N,First Removal,98.42,81.96
ASP,B-3,N,First Removal,98.42,82.0
ASP,B-4,N,First Removal,106.6,87.21
ASP,B-4,N,First Removal,106.6,87.2
ASP,B-5,N,First Removal,91.53,69.59
ASP,B-5,N,First Removal,91.53,69.6
ASP,B-10,N,Second Removal,77.68,72.05
ASP,B-10,N,Second Removal,77.68,72.0
ASP,B-6,N,Second Removal,95.53,80.56
ASP,B-6,N,Second Removal,95.53,80.6
ASP,B-7,N,Second Removal,67.64,60.15
ASP,B-7,N,Second Removal,67.64,60.2
ASP,B-8,N,Second Removal,84.66,82.7
ASP,B-8,N,Second Removal,84.66,82.7
ASP,B-9,N,Second Removal,85.12,65.75
ASP,B-9,N,Second Removal,85.12,65.8
EASP,B-1,N,First Removal,96.84,78.18
EASP,B-1,N,First Removal,96.84,78.2
EASP,B-2,N,First Removal,101.97,94.56
EASP,B-2,N,First Removal,101.97,86.32
EASP,B-2,N,First Removal,101.97,94.6
EASP,B-2,N,First Removal,101.97,86.3
EASP,B-4,N,First Removal,101.14,86.17
EASP,B-4,N,First Removal,101.14,86.2
EASP,B-5,N,First Removal,101.96,78.48
EASP,B-5,N,First Removal,101.96,84.62
EASP,B-5,N,First Removal,101.96,78.5
EASP,B-5,N,First Removal,101.96,84.6
EASP,B-6,N,First Removal,91.41,75.04
EASP,B-6,N,First Removal,91.41,83.26
EASP,B-6,N,First Removal,91.41,75.0
EASP,B-6,N,First Removal,91.41,83.3
EASP,B-10,N,Second Removal,84.51,0.0
EASP,B-10,N,Second Removal,84.51,76.39
EASP,B-10,N,Second Removal,84.51,0.0
EASP,B-10,N,Second Removal,84.51,76.4
EASP,B-3,N,Second Removal,87.46,56.63
EASP,B-3,N,Second Removal,87.46,80.02
EASP,B-3,N,Second Removal,87.46,56.6
EASP,B-3,N,Second Removal,87.46,80.0
EASP,B-7,N,Second Removal,86.52,80.39
EASP,B-7,N,Second Removal,86.52,80.4
EASP,B-8,N,Second Removal,86.05,0.0
EASP,B-8,N,Second Removal,86.05,78.08
EASP,B-8,N,Second Removal,86.05,0.0
EASP,B-8,N,Second Removal,86.05,78.1
EASP,B-9,N,Second Removal,88.36,79.9
EASP,B-9,N,Second Removal,88.36,79.9
Windrow,B-10,N,First Removal,43.18,37.88
Windrow,B-10,N,First Removal,43.18,37.9
Windrow,B-2,N,First Removal,50.49,32.9
Windrow,B-2,N,First Removal,50.49,32.9
Windrow,B-4,N,First Removal,49.72,39.26
Windrow,B-4,N,First Removal,49.72,39.3
Windrow,B-6,N,First Removal,16.4,10.86
Windrow,B-6,N,First Removal,16.4,10.9
Windrow,B-7,N,First Removal,23.37,17.5
Windrow,B-7,N,First Removal,23.37,17.5
Windrow,B-1,N,Second Removal,0.0,0.0
Windrow,B-1,N,Second Removal,0.0,0.0
Windrow,B-3,N,Second Removal,0.0,0.0
Windrow,B-3,N,Second Removal,0.0,0.0
Windrow,B-5,N,Second Removal,0.0,0.0
Windrow,B-5,N,Second Removal,0.0,0.0
Windrow,B-9,N,Second Removal,0.0,0.0
Windrow,B-9,N,Second Removal,0.0,0.0
EASP,NaN,N,First Removal,4.92,3.25
EASP,NaN,N,First Removal,4.92,3.3
EASP,NaN,N,Second Removal,25.22,3.82
EASP,NaN,N,Second Removal,25.22,3.8
In-Vessel,NaN,N,First Removal,0.0,0.0
In-Vessel,NaN,N,First Removal,0.0,0.0
In-Vessel,NaN,N,Second Removal,0.0,0.0
In-Vessel,NaN,N,Second Removal,0.0,0.0
 Windrow,C-10,O,First Removal,0.0,0.0
 Windrow,C-10,O,First Removal,0.0,0.0
 Windrow,C-6,O,First Removal,0.0,0.0
 Windrow,C-6,O,First Removal,0.0,0.0
 Windrow,C-7,O,First Removal,0.0,0.0
 Windrow,C-7,O,First Removal,0.0,0.0
 Windrow,C-8,O,First Removal,0.0,0.0
 Windrow,C-8,O,First Removal,0.0,0.0
 Windrow,C-9,O,First Removal,68.71,63.08
 Windrow,C-9,O,First Removal,68.71,63.1
 Windrow,C-1,O,Second Removal,0.0,0.0
 Windrow,C-2,O,Second Removal,0.0,0.0
 Windrow,C-3,O,Second Removal,0.0,0.0
 Windrow,C-4,O,Second Removal,0.0,0.0
 Windrow,C-5,O,Second Removal,0.0,0.0
CASP,B-1,O,First Removal,0.0,0.0
CASP,B-1,O,First Removal,0.0,0.0
CASP,B-2,O,First Removal,0.0,0.0
CASP,B-2,O,First Removal,0.0,5.78
CASP,B-2,O,First Removal,0.0,0.0
CASP,B-2,O,First Removal,0.0,0.0
CASP,B-4,O,First Removal,0.0,0.0
CASP,B-4,O,First Removal,0.0,0.0
CASP,B-4,O,First Removal,0.0,0.0
CASP,B-4,O,First Removal,0.0,0.0
CASP,B-5,O,First Removal,0.0,0.0
CASP,B-5,O,First Removal,0.0,0.0
CASP,B-8,O,First Removal,0.0,0.0
CASP,B-8,O,First Removal,0.0,0.0
CASP,B-8,O,First Removal,0.0,0.0
CASP,B-8,O,First Removal,0.0,0.0
CASP,B-3,O,Second Removal,0.0,0.0
CASP,B-3,O,Second Removal,0.0,0.0
CASP,B-3,O,Second Removal,0.0,0.0
CASP,B-6,O,Second Removal,0.0,0.0
CASP,B-6,O,Second Removal,0.0,0.0
CASP,B-6,O,Second Removal,0.0,0.0
CASP,B-6,O,Second Removal,0.0,0.0
CASP,B-7,O,Second Removal,0.0,0.0
CASP,B-7,O,Second Removal,0.0,0.0
CASP,B-7,O,Second Removal,0.0,0.0
CASP,B-7,O,Second Removal,0.0,0.0
CASP,B-9,O,Second Removal,0.0,0.0
CASP,B-9,O,Second Removal,0.0,0.0
EASP,B-2,O,First Removal,0.0,0.0
EASP,B-2,O,First Removal,0.0,0.0
EASP,B-2,O,First Removal,0.0,0.0
EASP,B-2,O,First Removal,0.0,0.0
EASP,B-5,O,First Removal,0.0,0.0
EASP,B-5,O,First Removal,0.0,0.0
EASP,B-5,O,First Removal,0.0,0.0
EASP,B-5,O,First Removal,0.0,0.0
EASP,B-6,O,First Removal,0.0,0.0
EASP,B-6,O,First Removal,0.0,0.0
EASP,B-6,O,First Removal,0.0,0.0
EASP,B-6,O,First Removal,0.0,0.0
EASP,B-7,O,First Removal,0.0,0.0
EASP,B-7,O,First Removal,0.0,0.0
EASP,B-8,O,First Removal,0.0,0.0
EASP,B-8,O,First Removal,0.0,0.0
