item_id,original_item_id,item_name,item_description,item_sku,brand,manufacturer,material_class_i,material_class_ii,material_class_iii,certification,kit,item_weight,weight_unit,item_dimensions,dimensions_unit,item_capacity,capacity_unit
0,A1,PLA-lined Paper Bowl 12oz,BESICS Bowl,WM-W270,BÉSICS®,WeiMon,Fiber,Lined Fiber,PLA lined Paper,BPI,Baseline,8.113333333,grams,"3’’ diameter, 2.5’’ H",inches,,milliliters
1,A2,CPLA Hot Cup Lid,Hot cup lid,,BÉSICS®,Multiple,Biopolymer,Rigid Biopolymer (< 0.75mm),CPLA,BPI,Baseline,3.573333333,grams,"3.5’’ diameter, 0.5’’ H",inches,,milliliters
2,A3,CPLA Hot Cup Lid,Hot cup lid,WTHL-101,BÉSICS®,Multiple,Biopolymer,Rigid Biopolymer (< 0.75mm),CPLA,BPI,Baseline,3.573333333,grams,"3.5’’ diameter, 0.5’’ H",inches,,milliliters
3,A4,PLA-lined Bagasse Bowl 300mL,"PLA-lined fibre bowl, white ",,BÉSICS®,GQPP,Fiber,Lined Fiber,PLA lined Bagasse,Component Materials Certified by BPI,Baseline,10.88,grams,5.5’’ x 5.5’’ x 2’’,inches,300.0,milliliters
4,K,CPLA Hot Cup Lid,CPLA Lid,,BÉSICS®,Multiple,Biopolymer,Rigid Biopolymer (< 0.75mm),CPLA,BPI,Baseline,2.5,grams,"3.5’’ diameter, 0.5’’ H",inches,80.0,milliliters
5,A6,BÉSICS® Baseline Containers,Besics Containers (Lined box with lid and uncoated fry try),,BÉSICS®,Seaside Paper,Fiber,Lined Fiber,Lined Tree Fiber and Unlined Fiber,BPI,Baseline,5.603333333,grams,,inches,,milliliters
6,A7,Paper Tray with Lid,Lined paper food tray with lid,,BÉSICS®,Seaside Paper,Fiber,Lined Fiber,PLA-lined fibre,,Baseline,29.76333333,grams,4.75’’ x 6’’ x 3.25’’,inches,,milliliters
7,A8,"CPLA Spoon 6""",Cutlery,,BÉSICS®,CFY,Biopolymer,Rigid Biopolymer (> 0.75mm),CPLA,BPI,Baseline,4.75,grams,6.5’’ x 1.53’’ (max) x 3/8’’,inches,,milliliters
8,A9,"CPLA Spoon 6""",BESICS Spoon,,BÉSICS®,CFY,Biopolymer,Rigid Biopolymer (> 0.75mm),CPLA,BPI,Baseline,4.75,grams,6.5’’ x 1.53’’ (max) x 3/8’’,inches,,milliliters
9,Q,"Unlined Paper Tray, small",Uncoated paper food tray ,,BÉSICS®,Seaside Paper,Fiber,Unlined Fiber,Paper,,Baseline,11.87333333,grams,2 3/16’’ x 3 1/8’’ 5.75’’,inches,,milliliters
