facility_ID,trial_ID,bag_ID,item_ID,trial_stage,mass_resid_%,sa_resid_%,treated_mass_resid_%
1,WR004-01,B-10,14,First Removal,92.26,92.37,
1,WR004-01,B-10,14,First Removal,92.3,92.37,
1,WR004-01,B-6,14,First Removal,74.27,71.64,
1,WR004-01,B-6,14,First Removal,74.3,71.64,
1,WR004-01,B-7,14,First Removal,83.2,84.24,
1,WR004-01,B-7,14,First Removal,83.2,84.24,
1,WR004-01,B-8,14,First Removal,99.22,81.49,
1,WR004-01,B-8,14,First Removal,99.2,81.49,
1,WR004-01,B-9,14,First Removal,79.04,60.98,
1,WR004-01,B-9,14,First Removal,79.0,60.98,
1,WR004-01,B-1,14,Second Removal,0.0,0.0,
1,WR004-01,B-1,14,Second Removal,0.0,0.0,
1,WR004-01,B-2,14,Second Removal,100.28,72.03,
1,WR004-01,B-2,14,Second Removal,100.3,72.03,
1,WR004-01,B-4,14,Second Removal,73.41,38.06,
1,WR004-01,B-4,14,Second Removal,73.4,38.06,
1,WR004-01,B-5,14,Second Removal,88.17,71.18,
1,WR004-01,B-5,14,Second Removal,88.2,71.18,
2,CASP005-01,B-1,14,First Removal,129.15,85.88,
2,CASP005-01,B-1,14,First Removal,129.1,85.88,
2,CASP005-01,B-2,14,First Removal,83.21,42.62,
2,CASP005-01,B-2,14,First Removal,83.2,42.62,
2,CASP005-01,B-4,14,First Removal,138.45,84.98,
2,CASP005-01,B-4,14,First Removal,138.4,84.98,
2,CASP005-01,B-5,14,First Removal,93.16,79.97,
2,CASP005-01,B-5,14,First Removal,93.2,79.97,
2,CASP005-01,B-8,14,First Removal,88.83,67.04,
2,CASP005-01,B-8,14,First Removal,88.8,67.04,
2,CASP005-01,B-3,14,Second Removal,112.0,76.28,
2,CASP005-01,B-3,14,Second Removal,112.0,76.28,
2,CASP005-01,B-6,14,Second Removal,100.07,67.96,
2,CASP005-01,B-6,14,Second Removal,100.1,67.96,
2,CASP005-01,B-7,14,Second Removal,94.72,68.32,
2,CASP005-01,B-7,14,Second Removal,94.7,68.32,
2,CASP005-01,B-9,14,Second Removal,89.01,68.9,
2,CASP005-01,B-9,14,Second Removal,89.0,68.9,
5,EASP002-01,B-2,14,First Removal,104.5,94.56,
5,EASP002-01,B-2,14,First Removal,104.5,94.56,
5,EASP002-01,B-5,14,First Removal,95.86,78.48,
5,EASP002-01,B-5,14,First Removal,95.9,78.48,
5,EASP002-01,B-6,14,First Removal,112.31,75.04,
5,EASP002-01,B-6,14,First Removal,112.3,75.04,
5,EASP002-01,B-7,14,First Removal,104.71,82.38,
5,EASP002-01,B-7,14,First Removal,104.7,82.38,
5,EASP002-01,B-8,14,First Removal,105.84,81.08,
